Trait,Heritability
faith_pd,0.504020697
shannon,0.669305489
observed_otus,0.663758554
UWU_PC1,0.803629452
UWU_PC2,0.104011335
UWU_PC3,0.593345066
WU_PC1,0.779586622
WU_PC2,0.240582849
WU_PC3,0.416179001
Bray_PC1,0.879433506
Bray_PC2,0.726134209
Bray_PC3,0.201642338
g_Bifidobacterium,0.480539597
g_Enterorhabdus,0.430700359
g_Bacteroides,0.438258523
g_Odoribacter,0.262939566
g_Muribaculum,0.301858434
g_Prevotellaceae.UCG.001,0.342695111
g_Alistipes,0.290821271
g_Rikenella,0.006716894
g_Parabacteroides,0.277594276
g_Lactobacillus,0.434923917
g_Lactococcus,0.167775857
g_Streptococcus,0.255175142
g_Clostridium.sensu.stricto.1,0.348043828
g_Clostridium.sensu.stricto.13,0.472475758
g_Family.XIII.UCG.001,0.748089987
g_.Eubacterium..brachy.group,0.684680658
g_.Eubacterium..nodatum.group,0.512746593
g_A2,0.527265985
g_Acetatifactor,0.877439752
g_Blautia,0.419218497
g_GCA.900066575,0.369549275
g_Lachnoclostridium,0.277243496
g_Lachnospiraceae.FCS020.group,0.381518569
g_Lachnospiraceae.NK4A136.group,0.403113207
g_Lachnospiraceae.UCG.004,0.261362889
g_Lachnospiraceae.UCG.006,0.639717185
g_Marvinbryantia,0.237378602
g_Roseburia,0.147115436
g_Tyzzerella,0.341950341
g_.Eubacterium..xylanophilum.group,0.737825718
g_Peptococcus,0.491385943
g_Romboutsia,0.773313397
g_Terrisporobacter,0.479966316
g_Anaerotruncus,0.221135893
g_Intestinimonas,0.514764572
g_Oscillibacter,0.47781238
g_Ruminiclostridium,0.47444274
g_Ruminiclostridium.5,0.329381299
g_Ruminiclostridium.9,0.386849907
g_Ruminococcaceae.NK4A214.group,0.559808551
g_Ruminococcaceae.UCG.010,0.586817116
g_UBA1819,0.389433933
g_.Eubacterium..coprostanoligenes.group,0.093719998
g_Erysipelatoclostridium,0.385085011
g_Faecalibaculum,0.868413494
g_Turicibacter,0.421046929
g_Bilophila,0.211385143
g_Desulfovibrio,0.462342707
g_Parasutterella,0.67400732
g_Akkermansia,0.888068204
